0,1,2
Marxian,,Input-output
A.  Revenue  side,,
TV* = GOp + GOt = 2000,<,"GO = GOP + GO, + GO^ = 2450"
=  1000+1000,,=  1000+1000+450
C* = M p=400,<,M = Mp + Mt + Mry = 700
,,=  400+200+100
VA* = T V * - C* = 1600,<,VA = G O -M  = 1750
= VAp + VAt + Mt,,= VAp + VAt + VAry
=  600+800+200,,=600+800+350
V* = Wp = 200,<,W = Wp + Wt + Wry = 85O
,,=200+400+250
S* = VA*-V* = 1400,>,P = P p+P t + Pry = 900
= VAp + VAt +  M t - W p,,=  400+400+100
=  400+400+(200+400),,
SVV* = 1400/200 = 700^0,»,P/W = 900/850 = 106%
= [(Mt + Wt) +  P]/Wp,,= P/(Wp + Wt + Wry)
B.  Use side,,
TP* = GPp+GPt = 2000,<,GP = GPP + GPt + GOry = 2450
,,=  1000+1000+450
U* = Mp = 400,<,M = 700
F P * = T P * - U*  = 1600,<,FD = G P -M  = 1750
= Mt + Mry + CON* + I*,,= CON + I =  1400+350
= 200+100 +  950+350,,
