0,1
Author index,370
"Scott,  M., 15","Tonak,  E. Ahmet,  16,137,186-7,188-9,"
"Shaikh, A.,  16,  82,122,137,143,165,166,","226,356-7"
"180-1,185,188,  201, 212n, 214, 226,  356-7","Tsaliki,  P.,  189-90, 226"
"Sharpe, A.,  152,160-1,163,  225","Tsoulfidis,L.,  189-90, 226"
"Sherman, H.J.,  157, 224",
,"Van Den Berg, A., 165"
"Smith, A.,  21,165, 210",
,"Vance, T. N., 163"
"Stanfield,  R. A.,  203, 204-6,  208,228",
,"Varga, E.,  161-2,165,166,168,170,171,179"
"Studenski,  P.,3",
,"Varley, D., 162"
"Summers,  L.  H.,4",
,"Von Neumann,  J., 238"
"Summers, V. P.,  4",
"Sutcliffe,  R.,  155-6,180,  224",
,"Weisskopf,T.,157,203,224"
"Sweezy, P. M., 20,153,198,  203",
,"Wolff, E. N.,  86,154,158-60,192,197-202,"
,"223-4, 225, 227"
"Thurow,  L., 5",
"Tobin,J.,ll,12,14-16","Zolotas, X.,  11,12,14-16"
