0,1,2,3,4,5,6,7,8,9,10,11,12,13
1947,PRODUCTION,,TOT TRADE  ROYALTIES,,,,DUMMY SECTORS,,,GROSS FINAL DEMAND,,,GROSS PRODUCT
,,,,,Govt,Hsehld,ROW,CON,Ig,X-IM,G,,
PRODUCTION,163117.4,,15491.2,3010.7,,,,110254.8,20943.1,8438.4,9104.4,330360.0,tT
,,,,,,,,,,,,,P*
TOTAL TRADE,15705.2,,4471.3,990.5,,,,42639.6,2569.2,1444.6,499.8,68320.1,
,,,,,,,,,,,,,I
ROYALTIES,6183.3,,3040.1,2726.1,,,,5721.4,45.7,53.3,143.5,17913.4,
"DUMMY 
Govt Ind",,,,,,,,,,,16220.6,16220.6,
"SECTORS 
Hsehld Ind",,,,,,,,2348.0,,,,2348.0,
ROW Ind,,,,,,,,-718.0,,1592.0,-50.0,824.0,
GROSS VALUE ADDED,145354.2,,45317.5,11186.1,16220.6,2348.0,824.0,,-1527.9,,,219722.5,
GROSS OUTPUT,330360.1,,68320.1,17913.4,16220.6,2348.0,824.0,160245.9,22030.1,11528.3,25918.3,655708.7,
,<,TV,,,,,,,,,,,
