0,1,2
Marxian,nan,Input-output
A.  Revenue  side,nan,nan
TV* = GO p + GOt = 2000,nan,GO = GOp  + GOt = 2000
= 1000+1000,nan,=  1000+1000
C*=M p = 400,nan,M = Mp + Mt = 400 + 200 = 600
VA*=TV*-C* = 1600,nan,VA = G O -M  = 1400
= VAp  + GOt =  600+1000,nan,= VAp + VAt = 600 + 800
V*  = Wp = 200,nan,nan
nan,nan,W = Wp + Wt = 200 + 400 = 600
S*=VA*-V*  =  1400,nan,nan
nan,nan,P = Pp + Pt = 400 + 400 = 800
= PP +  GOt,nan,nan
= Pp + Pt + (Wt + Mt),nan,nan
= 400+ 400+ (400+ 200),nan,nan
S*/V* = rate of  surplus value,»,P/W = profit/wage  ratio
"700%
=  1400/200 =",nan,= 800/600=133%
=  [Pp  + Pt + (Wt +  Mt)]/Wp,nan,= (Pp  + Pt)/(Wp + Wt)
B.  Use side,nan,nan
