0,1,2,3,4,5,6,7,8
Table E.I,,(cont.),,,,,,
,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0
,774.37,796.2,812.01,870.18,914.05,973.89,1057.74,1150.25
,637.23,656.61,666.98,714.58,752.28,798.8,869.58,943.94
,334.93,343.72,347.54,371.4,389.68,412.31,447.41,483.74
,20.8,21.89,23.03,24.07,25.31,27.39,30.07,33.6
123456789,281.5,291.0,296.4,319.1,337.3,359.1,392.1,426.6
,20.4,21.7,21.8,22.3,22.3,21.4,24.2,25.3
,12.5,12.8,12.9,13.1,13.4,13.8,14.0,14.6
,23.7,24.3,25.3,27.1,28.9,31.6,34.7,37.9
,141.8,144.4,145.0,158.6,168.1,180.2,198.4,217.4
10,45.1,47.3,48.9,51.9,54.8,58.3,62.6,67.4
11,32.1,34.3,36.5,39.4,42.2,45.7,49.3,54.3
12,2.7,2.8,2.9,3.1,3.4,3.5,3.9,4.4
13,5.2,5.4,5.7,6.0,6.3,6.8,7.1,7.8
14,2.4,2.7,2.8,3.2,3.4,3.8,4.0,4.3
15,1.2,1.3,1.4,1.4,1.6,1.7,1.8,2.0
16,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.7
17,2.4,2.7,2.8,3.0,3.2,3.4,3.6,3.7
18,11.0,11.5,12.2,13.3,14.2,15.7,17.0,18.9
19,2.0,2.2,2.5,2.8,3.1,3.4,3.8,4.3
20,4.1,4.6,5.0,5.4,5.7,6.0,6.5,7.2
21,3.8,4.0,4.3,4.7,5.0,5.6,6.1,7.0
22,5.9,6.2,6.0,6.7,7.6,8.1,8.9,9.7
23,2.3,2.2,1.9,2.2,2.7,2.9,3.4,3.9
24,3.6,4.0,4.1,4.5,4.9,5.2,5.5,5.8
25,138.64,142.39,146.23,155.6,162.37,176.5,189.36,204.21
26,34.0,34.61,35.24,37.27,38.59,42.0,45.03,48.49
27,8.89,9.1,9.3,9.42,9.58,10.31,11.25,12.49
28,95.75,98.67,101.7,108.91,114.19,124.19,133.09,143.23
29,34.0,35.1,36.1,38.5,40.2,43.4,46.8,51.2
30,49.3,50.6,51.9,55.6,58.1,63.7,68.1,73.0
31,12.45,12.97,13.7,14.81,15.89,17.09,18.19,19.03
32,17.73,18.49,19.39,20.73,22.06,23.59,25.14,26.6
33,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.27
34,23.7,24.8,26.1,28.0,29.9,32.1,34.3,36.4
35,50.7,54.1,57.4,61.7,65.6,69.8,74.5,79.4
36,27.0,29.3,31.3,33.7,35.7,37.7,40.2,43.0
37,25.6,27.8,29.8,32.2,34.1,36.1,38.5,41.2
38,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.8
39,5.28,5.52,5.69,5.92,6.16,6.5,6.95,7.57
40,5.97,6.31,6.71,7.27,7.84,8.51,9.16,9.8
41,-1.5,-2.8,-1.2,0.0,-0.6,-1.4,-1.2,2.1
42,21.44,21.78,21.8,23.05,23.91,25.05,26.91,28.79
43,356.38,365.51,369.34,394.45,413.59,437.36,474.32,512.53
44,439.44,452.48,464.47,498.78,524.38,561.59,610.33,666.51
45,417.99,430.69,442.67,475.73,500.46,536.54,583.42,637.72
