0,1,2
,Measuring the  wealth of  nations,4
,definition of production which treats all market activities as productive is,
obvious.,,
,"In  spite  of  its  other  breaks  with  neoclassical  theory,  Keynesian  eco-",
,nomics did little to change the neoclassical  conventions.  As a result they,
,are now embodied  in all official  national  accounts  of  the Western world,
"(although not without challenge,  as we shall see).3",,
,Although  the  neoclassical  concept  of  production  has  dominated  the,
,"official  accounts  of  the Western world in the twentieth  century,  until re-",
,cently quite another concept ruled in (what used to be called) the socialist,
,world: that of  the National  Material  Product.  At  the heart of  this latter,
,approach  is  the  idea  that  production  consists  of  physical  goods  alone.,
,"From this point  of  view,  the value of  the total  product  consists  of  what",
,"is essentially the final cost of the total physical product: that is, the price",
,"charged by the producer plus the costs of repair, transportation, and dis-",
,"tribution (UN  1991, p. xxii). The originators of this concept claim to de-",
,"rive it  from  Marx,  but this  physicalist  notion  of  the total  product  is ac-",
,"tually  rooted  in  Smith.  It  is  quite  explicitly  rejected  by  Marx,  as  even",
"Studenski concedes  (Studenski  1958, p. 22).",,
,The undifFerentiated production categories of the neoclassicals and the,
,overly restricted production concept of the modern physicalists  form the,
"two  poles  of  official  accounting  systems  (UN  1990,  p.  vi).  But  between",,
"this Scylla and Charybdis  lies another path,  one which it is our purpose",,
to develop and apply.,,
,Independent  from  theoretical  and  academic  discourse  is the  language,
,"and understanding of practical experience. In this regard, it is quite strik-",
,ing that even though the very concept of nonproduction market activities,
,"has been abolished  from the theoretical  lexicon of  orthodox  economics,",
,the notion continues to thrive in practical discourse. The Prime Minister,
,of  Japan  was  recently  quoted  as  arguing  that  American  resources  were,
,"""squandered"" on financial and trading activities in the 1980s (Sanger 1992).",
,"Fortune  magazine reports that ""representatives of the manufacturing sec-",
,"tor  indict  the  legal  and financial sectors  as highly  unproductive""  (Farn-",
,"ham  1989,  pp.  16, 65; cited  by Chernomas  1991, p.  1; emphasis  added).",
,"Business  economists  Summers  and  Summers  (1989,  p.  270)  report  that",
,"neoclassical economics, the fundamental test of this status is that someone would",
