0,1,2,3,4,5,6
1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
5085.62,5689.1,6014.56,6236.33,6614.45,7223.85,7639.86
4167.12,4653.8,4901.13,5067.02,5378.21,5903.11,6215.87
2235.61,2497.25,2618.65,2664.48,2808.66,3122.99,3278.25
224.31,247.24,285.0,328.55,365.8,395.27,434.22
1707.2,1909.3,1997.48,2073.99,2203.75,2384.84,2503.4
74.3,92.9,92.01,93.6,100.67,104.26,113.48
118.4,119.4,114.17,74.29,76.84,80.02,80.25
149.6,171.5,186.57,203.8,219.17,237.4,247.72
683.2,771.9,789.54,832.42,875.54,940.66,966.0
320.0,354.4,374.1,393.5,408.2,444.3,460.9
317.6,347.3,383.3,416.38,460.74,510.82,557.24
24.3,27.0,30.36,32.43,36.01,41.25,44.47
23.1,25.0,29.7,31.88,33.99,38.5,42.99
26.1,29.2,33.21,36.28,38.13,40.5,43.59
10.8,12.8,12.44,13.69,13.84,15.59,16.94
6.6,7.3,9.02,10.48,12.51,13.53,14.72
16.8,17.8,19.91,22.08,24.82,27.4,29.75
156.1,169.0,184.56,200.3,226.14,250.3,273.31
21.0,23.5,25.75,27.57,29.5,32.49,35.53
32.8,35.7,38.35,41.67,45.81,51.24,55.95
49.9,56.9,63.62,74.43,83.6,93.92,104.92
44.1,51.9,57.8,60.0,62.6,67.4,77.8
23.6,27.9,30.8,30.3,30.3,32.7,39.7
20.5,24.0,27.0,29.7,32.3,34.7,38.1
913.3,1029.9,1118.18,1171.11,1246.83,1348.98,1441.03
220.06,248.59,268.62,279.0,295.8,320.09,341.01
67.31,74.19,85.53,98.59,109.77,118.62,130.3
625.92,707.12,764.03,793.51,841.25,910.28,969.72
226.5,263.1,280.84,282.05,294.77,317.38,339.47
316.4,350.8,377.4,400.54,426.36,459.95,485.98
83.02,93.22,105.78,110.93,120.12,132.96,144.28
117.3,130.2,145.68,153.97,166.56,183.05,198.32
0.3,0.3,0.3,0.3,0.3,0.3,0.3
167.4,185.8,207.9,219.73,237.69,261.23,283.02
374.2,409.1,449.0,478.63,517.29,561.63,607.12
206.8,223.3,241.1,258.9,279.6,300.4,324.1
198.0,214.5,233.2,251.7,272.1,292.8,316.3
8.8,8.8,7.9,7.2,7.5,7.6,7.8
34.28,36.98,39.9,43.04,46.43,50.09,54.04
50.1,55.6,62.22,65.76,71.13,78.18,84.7
5.2,5.4,-4.75,-1.8,-10.59,-28.25,-17.05
144.48,161.39,169.23,172.19,181.51,201.83,211.86
2380.09,2658.64,2787.88,2836.67,2990.17,3324.82,3490.11
2850.01,3191.85,3395.91,3571.85,3805.79,4100.86,4361.61
2705.53,3030.46,3226.68,3399.66,3624.28,3899.03,4149.75
