0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,"Table K.I.  Government  absorption  of  surplus  value,  1948-89  (billions  of  dollars)",,,,,,,,,,,,,,
Sources,Variables,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
,G*=G* + WG,32.5,38.86,38.62,60.2,75.56,82.36,75.59,74.85,79.09,86.73,94.63,96.72,99.03,106.37
Table E.2,G*,14.4,18.76,17.42,32.5,44.06,49.96,42.59,40.05,41.89,46.93,51.73,51.92,50.93,54.77
Table E.2,WG,18.1,20.1,21.2,27.7,31.5,32.4,33.0,34.8,37.2,39.8,42.9,44.8,48.1,51.6
Table H.I,SP*,149.91,148.58,165.09,188.26,194.79,204.29,208.23,228.16,236.74,249.88,256.04,278.34,285.93,295.95
,G*/SP*,0.22,0.26,0.23,0.32,0.39,0.4,0.36,0.33,0.33,0.35,0.37,0.35,0.35,0.36
Sources,Variables,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0
,G* = G* + WG,115.66,120.82,126.81,135.1,154.54,175.3,192.22,200.46,210.13,222.76,238.64,253.47,284.33,318.29
Table E.2,G*,60.26,,61.52  62.41,65.8,76.14,87.9,94.42,92.96,90.63,92.46,96.04,98.47,115.63,130.59
Table E.2,WG,55.4,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.5,130.3,142.6,155.0,168.7,187.7
Table H.I,SP*,319.54,337.07,364.0,394.44,430.09,453.42,493.12,523.25,546.86,596.04,645.51,719.63,778.82,868.78
,G*/SP*,0.36,0.36,0.35,0.34,0.36,0.39,0.39,0.38,0.38,0.37,0.37,0.35,,0.37  0.37
Sources,Variables,1976  1977,,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
,G* = G* + WG,337.29,363.34,396.97,435.78,494.43,547.37,598.61,624.39,679.89,755.83,797.0,837.34,871.73,925.91
Table E.2,G*,133.49,142.84,156.47,175.38,206.13,230.67,254.71,257.99,289.29,336.83,353.2,365.44,366.63,384.31
Table E.2,WG,203.8,220.5,240.5,260.4,288.3,316.7,343.9,366.4,390.6,419.0,443.8,471.9,505.1,541.6
Table H.I  S P*,,971.25,1086.66,1221.76,1347.44,1463.67,1669.4,1726.06,,1867.15  2103.70  2258.31,,,2389.25  2555.52  2755.18  2945.32,,
,G*/SP*,0.35,0.33,0.32,0.32,0.34,0.33,0.35,0.33,0.32,0.33,0.33,0.33,,0.32  0.31
