0,1,2
Marxian,,Input-output
A.  Revenue  side,,
TV = GO p + GOt = 2000,,GO = GOp  + GOt = 2000
= 1000+1000,,=  1000+1000
C=M p = 400,,M = Mp + Mt = 400 + 200 = 600
VA=TV-C = 1600,,VA = G O -M  = 1400
= VAp  + GOt =  600+1000,,= VAp + VAt = 600 + 800
V  = Wp = 200,,
,,W = Wp + Wt = 200 + 400 = 600
S=VA-V  =  1400,,
,,P = Pp + Pt = 400 + 400 = 800
= PP +  GOt,,
= Pp + Pt + (Wt + Mt),,
= 400+ 400+ (400+ 200),,
S/V = rate of  surplus value,»,P/W = profit/wage  ratio
"700
=  1400/200 =",,= 800/600=133
=  /Wp,,= (Pp  + Pt)/(Wp + Wt)
B.  Use side,,
