0,1,2,3,4,5,6,7,8
Variables,Units,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0
q =  TPr/H p,"/hr  worked,  prod, workers",27.56,28.98,30.3,32.04,33.02,34.21,35.77
q (index numbers)a,,100.0,105.15,109.96,116.25,119.82,124.14,129.78
y =  GFPr/Hp,"/hr  worked,  prod, workers",15.3,16.3,16.93,17.83,18.39,19.03,20.1
y (index numbers),,100.0,106.5,110.64,116.54,120.18,124.36,131.35
y =  GDP r/Hl,"/hr  worked,  pt & ft workers",11.11,11.51,11.98,12.14,12.34,12.68,13.02
y (index  numbers),,100.0,103.61,107.82,109.27,111.08,114.16,117.22
"y,(BLS;  1948 = 100)",GDP in /hr  worked by  PEP,100.0,101.71,108.17,111.41,114.07,116.54,118.25
y2 = GDP2 r/H2 c,/hr  by workers & SEP,9.59,10.03,10.57,10.87,11.2,11.6,11.95
y2 (index  numbers),,100.0,104.57,110.16,113.27,116.71,120.92,124.5
Variables,Units,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0
q=TP r/H p,"/hr  worked, prod, workers",36.55,37.32,38.67,40.7,41.61,42.57,43.82
q (index numbers),,132.63,135.41,140.32,147.69,150.97,154.46,159.02
y =  GFP r/H p,"/hr  worked,  prod, workers",20.48,20.86,21.71,23.09,23.61,24.18,25.05
y (index numbers),,133.82,136.32,141.88,150.88,154.3,158.02,163.74
y =  GDP r/Hl,"/hr  worked, pt & ft workers",13.27,13.26,13.52,13.87,14.21,14.34,14.72
y (index  numbers),,119.51,119.39,121.72,124.89,127.97,129.07,132.57
"y,(BLS;  1948 = 100)",GDP in /hr  worked by  PEP,121.67,122.43,124.71,127.57,131.75,133.08,137.45
y2 = GDP2 r/H2 c,/hr  by workers & SEP,12.29,12.39,12.63,12.81,13.33,13.41,13.79
y2 (index  numbers),,128.06,129.12,131.65,133.47,138.89,139.75,143.74
