0,1,2
,Operations  on the real estate  and finance sectors,273
calculations  in  Appendix  E.  The  following  steps  detail  the  calculation,,
of  ABR.,,
,"(1)  The BEA capital stock data are on an owner  basis, so that the cor-",
,responding total depreciation of the nonimputed  real estate sector  (DR'),
,is  the  depreciation  of  all  building  and  equipment  owned  by  this  sector,
,"(i.e.,  the  sum  of  depreciation  DR  of  stock  used  by  this  sector  and  of",
,amortization ABR  of  stock  rented out to other sectors). We have,
,"DR'=DR + ABR,",
and we calculate DR' as,,
