0,1,2,3,4,5
Table 6.11.  Real  surplus  value and economic  surplus,,,,,
,,Economic  surplus,,(Economic,surplus)/S*
Year,S*,Stanfield*,Phillips *,Stanfield,Phillips
1948.0,635.62,544.09,528.23,0.86,0.83
1949.0,632.69,525.49,568.36,0.83,0.9
1950.0,691.58,589.53,591.0,0.85,0.85
1951.0,750.05,669.72,664.79,0.89,0.89
1952.0,762.72,667.29,722.43,0.87,0.95
1953.0,789.52,696.75,747.35,0.88,0.95
1954.0,791.38,627.16,722.24,0.79,0.91
1955.0,839.91,689.53,754.98,0.82,0.9
1956.0,842.84,689.52,765.34,0.82,0.91
1957.0,859.38,691.01,798.93,0.8,0.93
1958.0,861.74,644.3,824.07,0.75,0.96
1959.0,914.62,708.63,869.12,0.77,0.95
1960.0,925.67,710.76,880.34,0.77,0.95
1961.0,948.89,706.58,926.67,0.74,0.98
1962.0,1002.0,801.31,975.53,0.8,0.97
1963.0,1040.33,808.88,1011.5,0.78,0.97
1964.0,1106.07,871.36,,0.79,
1965.0,1166.7,952.87,,0.82,
1966.0,1228.54,1060.48,,0.86,
1967.0,1263.85,1111.85,,0.88,
1968.0,1307.47,1158.84,,0.89,
1969.0,1314.44,1189.21,,0.9,
1970.0,1302.53,1163.83,,0.89,
,"a  Stanfield's  real surplus measure is based on his real actual surplus (1973, p.  81,",,,,
,"table  7-6) and the ""ratio  of  surplus  elements  in market  prices to GNP"" (called",,,,
,"s/p;  p. 58, table  5-14).  Since his real  actual  economic  surplus was  calculated at",,,,
,"cost  prices, the following  formula,  after  converting  1958 dollars to 1982 dollars,",,,,
,was  used  in order  to translate  his surplus figures to the ones  in market  prices:,,,,
,[surplus in market prices] = [surplus in cost prices] x [1/(1 — (s/p)}].,,,,
,b  Phillips's  real  surplus figures are based on his current-dollar  estimates  (Baran,,,,
,"and  Sweezy  1966, p. 389, table  22);  they are converted  to real figures by using",,,,
,GNP  deflators  (1982 = 100).,,,,
