0,1,2,3,4,5,6,7,8,9,10,11,12
Sources,Variables,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0
,S* =  VA*-V*,149.94,148.64,165.26,188.25,194.51,204.52,208.2,228.55,236.97,250.25,256.15
Table E.I,VA*,238.35,233.66,258.42,294.17,305.52,321.91,320.15,349.07,365.79,383.25,383.87
Table G.2,V**,88.41,85.02,93.16,105.91,111.01,117.39,111.95,120.52,128.82,133.0,127.72
,SVV*,1.7,1.75,1.77,1.78,1.75,1.74,1.86,1.9,1.84,1.88,2.01
,SP* =  F P * - N P*,149.91,148.58,165.09,188.26,194.79,204.29,208.23,228.16,236.74,249.88,256.04
,FP* = G F P * - D P,238.32,233.6,258.25,294.18,305.81,321.68,320.18,348.67,365.56,382.88,383.75
,GFP*=TP*-M;,247.74,242.9,269.06,307.03,319.61,336.71,335.26,365.74,384.1,402.67,403.67
Table E.2,TP*,446.21,431.96,481.62,551.62,573.95,605.37,596.63,652.91,687.21,717.3,711.67
Table E.I,Mp,198.47,189.06,212.56,244.59,254.35,268.66,261.36,287.18,303.11,314.63,308.0
Table E.2,DP,9.42,9.29,10.81,12.85,13.8,15.04,15.08,17.07,18.54,19.79,19.92
Table G.2,NP* = V*,88.41,85.02,93.16,105.91,111.01,117.39,111.95,120.52,128.82,133.0,127.72
,P+ =  V A - EC,99.11,96.4,109.18,124.61,126.15,130.28,130.63,145.59,145.36,152.14,154.24
"112  1""",VA = FD = NNP,241.2,238.4,264.6,306.2,322.5,340.7,340.0,371.5,390.1,409.9,414.0
"604B1""",EC,142.09,142.0,155.42,181.6,196.35,210.42,209.37,225.92,244.74,257.76,259.76
,PVEC,0.7,0.68,0.7,0.69,0.64,0.62,0.62,0.64,0.59,0.59,0.59
,Pn =  ( P + ) - I BT,,,,,,,,,,,
,-corporate income tax,66.51,64.9,67.78,76.71,79.05,80.28,83.43,91.29,88.36,93.24,96.54
B-79*,IBT = indirect business tax,20.2,21.3,23.5,25.3,27.7,29.7,29.6,32.3,35.0,37.5,38.7
"B-80, B-82C",Corporate income tax,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22.0,22.0,21.4,19.0
,P =  ( P + ) - I BT,78.91,75.1,85.68,99.31,98.45,100.58,101.03,113.29,110.36,114.64,115.54
