0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Variables  1962,,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0
MP,371.4,389.68,412.31,447.41,483.74,500.66,545.14,586.54,602.47,644.7,714.33,837.4,926.56,1023.78,1187.33
RYp,24.07,25.31,27.39,30.07,33.6,37.18,40.6,44.93,48.35,52.92,58.15,65.08,71.71,78.69,89.45
Mi,37.27,38.59,42.0,45.03,48.49,51.94,56.3,60.18,62.8,67.71,73.2,83.29,91.94,103.25,115.69
RYU,9.42,9.58,10.31,11.25,12.49,13.73,14.63,15.79,16.55,17.63,18.84,20.76,22.53,24.34,27.25
RYC,22.8,24.61,26.44,28.81,31.95,35.09,38.19,42.11,45.17,49.26,53.94,58.71,62.9,67.1,74.14
RYi,0.14,0.14,0.16,0.18,0.21,0.23,0.24,0.25,0.26,0.26,0.27,0.31,0.35,0.39,0.46
RYG,3.29,3.95,4.25,4.63,5.14,5.65,6.56,7.7,8.76,10.11,11.69,13.5,15.33,17.32,20.23
RYx_iro,0.43,0.45,0.53,0.62,0.74,0.87,0.97,1.1,1.21,1.35,1.52,1.78,2.05,2.35,2.78
DP,23.05,23.91,25.05,26.91,28.79,29.48,32.43,35.26,36.59,39.56,44.27,52.4,58.5,65.17,76.18
DH,3.16,3.31,3.46,3.57,3.68,3.78,4.15,4.5,4.77,5.22,5.72,6.55,7.27,8.21,9.24
Dry,1.26,1.31,1.38,1.48,1.61,1.73,1.95,2.23,2.47,2.78,3.15,3.66,4.19,4.76,5.59
R O W^,- 2 . 04,- 2 . 08,- 2 . 33,- 2 . 54,- 2 . 50,- 2 . 72,- 3 . 16,-3.24,-3.55,-4.63,-5.71,-7.58,- 8 . 30,- 6 . 72,- 7 . 22
ROWx_im,7.38,7.94,8.79,9.47,9.17,9.86,11.04,10.89,11.54,14.51,17.23,24.25,28.37,24.73,28.93
ROWC,- 0 . 85,- 0 . 97,- 1 . 06,- 1 . 12,- 1 . 08,- 1 . 14,-1.08,-0.86,- 0 . 69,-0.57,-0.33,-0.47,-0.57,-0.51,-0.61
M;,16.32,17.36,18.52,20.03,22.06,24.05,25.88,28.21,29.91,32.23,34.86,39.21,43.41,47.86,54.66
GP,1044.76,1099.77,1173.84,1273.88,1389.06,1462.58,1595.8,1722.72,1800.78,1945.9,2143.39,2440.0,2667.47,2919.0,3305.49
