0,1,2
1.2  Official  national accounts,,6.0
1.3  Extended national accounts for the United States,,9.0
1.4  Toward an alternate approach to national accounts,,17.0
2  Basic theoretical foundations,,20.0
2.1  The distinction between production and nonproduction,,
activities,,20.0
2.2  Productive labor under capitalism,,29.0
2.3  Productive labor in orthodox economics,,32.0
"2.4  Production labor, surplus value, and profit",,34.0
3  Marxian categories and national accounts: Money value,flows,38.0
3.1  Primary flows: Production and trade,,40.0
"3.2  Secondary 
flows",,52.0
"A.  Private secondary flo ws: Ground rent, finance,",,
