year,profit_rate,method,source,data_quality,scaling_applied,capital_method,k_sp_ratio_used
1958,0.47,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1959,0.45,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1960,0.45,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1961,0.46,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1962,0.46,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1963,0.45,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1964,0.45,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1965,0.43,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1966,0.42,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1967,0.42,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1968,0.41,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1969,0.4,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1970,0.42,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1971,0.42,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1972,0.4,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1973,0.39,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1975,0.36,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1976,0.41,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1977,0.4,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1978,0.38,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1979,0.36,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1980,0.36,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1981,0.36,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1982,0.36,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1983,0.38,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1984,0.36,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
1985,0.37,Historical S&T,Phase 1 Replication (93.8% accuracy),Validated,None - direct use,,
