0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Line,,1946.0,,,,1947.0,,,,1948.0,,,,1949.0,,,,1950.0,,
,,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV
Gross  national  product,1 2,200.1,208.2,218.4,222.8,227.5,231.5,235.9,246.1,252.4,259.7,266.6,267.9,262.7,259.2,260.9,258.6,269.3,278.9,296.7,308.1
Less: Capital  consumption,,13.2,13.8,14.5,15.4,16.5,17.3,17.9,18.7,19.3,20.0,21.0,21.4,21.6,22.0,22.0,22.2,22.5,23.0,24.0,25.0
allowances with  capital,,,,,,,,,,,,,,,,,,,,,
consumption  adjustment.,,,,,,,,,,,,,,,,,,,,,
Capital  consumption,3,9.1,9.3,9.6,10.0,10.5,11.4,11.9,12.5,13.0,13.4,13.9,14.5,15.1,15.5,15.9,16.3,16.8,17.1,17.7,18.2
allowances  without,,,,,,,,,,,,,,,,,,,,,
capital  consumption,,,,,,,,,,,,,,,,,,,,,
adjustment.,,,,,,,,,,,,,,,,,,,,,
Less: Capital,4,- 4 .1,- 4 .5,- 4 .9,- 5 .4,- 5 .9,- 5 .8,- 6 .1,- 6 .2,- 6 .3,- 6 .5,- 7 .0,- 6 .9,- 6 .5,- 6 .5,- 6 .1,- 5 .9,- 5 .7,- 6 .0,- 6 .3,- 6 .8
consumption,,,,,,,,,,,,,,,,,,,,,
adjustment.,,,,,,,,,,,,,,,,,,,,,
Equals: Net  national  product,,186.9,194.4,203.8,207.4,211.0,214.2,218.0,227.4,233.1,239.7,245.6,246.4,241.2,237.2,238.9,236.4,246.8,255.9,272.6,283.1
Less: Indirect  business  tax  and,5 6,16.4,16.9,17.5,17.7,18.0,18.1,18.4,19.3,19.3,20.0,20.4,20.7,20.8,21.2,21.7,21.6,22.0,22.9,24.9,23.9
nontax  liability.,,,,,,,,,,,,,,,,,,,,,
Business  transfer,7,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
payments.,,,,,,,,,,,,,,,,,,,,,
,,1.9,1.0,1.1,- 1 .0,0.1,2.0,2.3,2.9,- .6,- 2 .1,- .7,- 1 .6,- .3,0.4,1.4,1.8,2.9,0.9,,- .6
Statistical  discrepancy,8 9,,,,,,,,,,,,,,,,,,,0 0,
Plus: Subsidies less  current,,1.8,1.3,0.2,0.1,- .1,- .1,- .3,- .4,- .3,- .4,- .1,0.2,- .2,- .2,- .2,- .3,0.1,0.1,,0.3
surplus  of government,,,,,,,,,,,,,,,,,,,,,
enterprises.,,,,,,,,,,,,,,,,,,,,,
Equals: National  income,10,169.9,177.4,185.1,190.3,192.3,193.4,196.4,204.2,213.4,220.7,225.1,226.8,219.7,214.6,214.8,211.9,221.2,231.4,247.1,259.3
Less: Corporate  profits  with,11,13.6,16.8,17.9,20.3,19.8,23.4,23.5,25.1,29.0,30.7,29.9,31.5,30.0,27.6,28.9,25.6,29.2,32.7,37.3,40.4
inventory  valuation  and,,,,,,,,,,,,,,,,,,,,,
capital  consumption,,,,,,,,,,,,,,,,,,,,,
adjustments.,,,,,,,,,,,,,,,,,,,,,
Net  interest,12,1.7,1.7,1.8,1.8,2.3,2.3,2.3,2.3,2.5,2.4,2.4,2.4,2.6,2.6,2.7,2.7,2.9,2.9,3.0,3.1
Contributions  for  social,13,7.7,8.2,7.9,7.1,7.5,7.1,6.3,6.0,6.1,5.9,6.0,6.0,6.8,6.7,6.5,6.3,7.2,7.2,7.5,7.9
insurance.,,,,,,,,,,,,,,,,,,,,,
Wage accruals  less,14,0.8,- .9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,- .2,0.1,0.1,- .3,0.0,0.0,0.0,0.0,0.0,0.1
disbursements.,,,,,,,,,,,,,,,,,,,,,
Plus: Government  transfer,15,11.8,11.0,10.6,9.9,10.1,9.9,13.8,10.9,11.0,10.8,10.5,10.2,11.0,11.6,12.1,12.4,20.7,14.2,11.2,11.4
payments to persons.,,,,,,,,,,,,,,,,,,,,,
,16,6.2,6.5,6.7,6.9,7.4,7.5,7.6,7.6,8.0,8.0,8.0,8.2,8.4,8.6,8.8,9.0,9.3,9.5,9.8,10.0
Personal  interest  income-,,,,,,,,,,,,,,,,,,,,,
Personal  dividend,17,5.1,5.4,5.7,6.1,6.0,6.3,6.5,6.4,7.0,6.7,7.1,7.3,7.2,7.2,7.1,7.4,8.3,8.3,9.1,9.5
income.,,,,,,,,,,,,,,,,,,,,,
Business  transfer,18,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
payments.,,,,,,,,,,,,,,,,,,,,,
"Equals:  Personal 
income",19,169.7,175.0,181.0,184.5,186.7,184.9,192.7,196.3,202.3,207.7,213.3,213.3,207.6,206.1,205.6,206.8,221.0,221.4,230.1,239.6
