0,1,2,3,4,5,6,7,8,9,10,11,12,13
nan,nan,nan,1955,nan,nan,nan,1956,nan,nan,nan,1957,nan,nan
nan,nan,nan,nan,Trans-,nan,nan,nan,Trans-,nan,nan,nan,Trans-,nan
nan,nan,nan,nan,fer,nan,nan,nan,fer,nan,nan,nan,fer,nan
nan,nan,nan,nan,nan,Subsi-,nan,nan,nan,Subsi-,nan,nan,nan,Subsi-
nan,nan,nan,nan,pay-,nan,nan,nan,pay-,nan,nan,nan,pay-,nan
nan,nan,nan,Pur-,nan,dies  less,nan,Pur-,nan,nan,nan,Pur-,nan,nan
nan,nan,nan,nan,ments,nan,nan,nan,ments,nan,nan,nan,ments,nan
nan,nan,nan,chases,nan,current,nan,nan,nan,current,nan,chases,nan,current
nan,nan,nan,nan,and,nan,nan,nan,and,nan,nan,nan,and,nan
nan,Line,nan,of,nan,surplus,nan,of,nan,surplus,nan,of,nan,surplus
nan,nan,Expendi-,nan,net,nan,Expendi-,nan,net,nan,Expendi-,nan,net,nan
nan,nan,nan,goods,nan,of,nan,goods,nan,of,nan,goods,nan,of
nan,nan,tures1,nan,inter-,nan,tures1,nan,inter-,nan,tures1,nan,inter-,nan
nan,nan,nan,and,nan,govern-,nan,and,nan,govern-,nan,and,nan,govern-
nan,nan,nan,nan,est,nan,nan,nan,est,nan,nan,nan,est,nan
nan,nan,nan,serv-,nan,ment,nan,nan,nan,ment,nan,serv-,nan,ment
nan,nan,nan,nan,paid,nan,nan,nan,paid,nan,nan,nan,paid,nan
nan,nan,nan,nan,nan,enter-,nan,nan,nan,enter-,nan,ices,nan,enter-
nan,nan,nan,nan,less,nan,nan,nan,less,nan,nan,nan,less,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,prises,nan,nan,nan,prises
nan,nan,nan,nan,divi-,nan,nan,nan,divi-,nan,nan,nan,divi-,nan
nan,nan,nan,nan,dends,nan,nan,nan,dends,nan,nan,nan,dends,nan
Total1..,nan,"32,937","30,346","4,115","-1,524","35,871","33,252","4,258","-1,639","39,833","36,860","4,685","-1,712"
"Central  executive,  legislative,  and  judicial  activities",nan,"1,931","1,931",nan,nan,"2,168","2,168",nan,nan,"2,450","2,450",nan,nan
"Administrative,  legislative,  and judicial  activities",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tax  collection  and  financial  management,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
