0,1,13,2,3,4,5,6,7,8,9,10,11,12
Crops,,"34.4
35.6
36.5
36.4
37.1
38.4",27.7,28.4,29.9,29.6,28.3,29.6,31.8,30.8,31.9,32.7,30.4
Livestock,,"48.2
51.1
53.9
54.9
52.1
56.7
58.9",40.5,38.1,39.4,40.2,40.8,41.7,44.2,45.7,48.4,50.6,49.6
Gross rental  value of farm  housing,,"19.1
19.0
18.7
18.6
18.8
18.3
18.1",14.8,15.3,15.9,16.5,17.0,17.5,17.9,18.3,18.6,18.8,19.0
Farm  products consumed  on farms,,"4.3
3.9
3.6
3.4
2.9
2.7
2.5",7.9,7.5,7.0,6.7,6.3,6.0,5.7,5.5,5.4,5.1,4.5
Other  farm  income,,".9
1.0
1.1
1.0
1.1
1.2
1.3",,,,0.1,0.2,0.4,0.4,0.5,0.6,0.7,0.8
Change in  farm  inventories,,"2.4
.7
1.4
1.3
2.7
2.3
-1.8",-4.7,2.1,-1.0,3.3,3.8,3.1,,1.7,0.1,-2.3,1.1
Crops,,"-1.0
.5
.8
- .2
.3
.5
-1.9",,2.4,-1.9,0.7,0.2,0.4,,0.7,0.2,,2.2
Livestock,,"1.8
1.9
.6
1.6
2.4
1.8
.1",-2.4,,0.9,2.7,3.6,2.7,,1.0,,-2.1,-1.0
Less: Intermediate goods and  services,,"52.5
48.3
54.5
52.4
57.5
59.9
60.0",36.3,36.2,36.1,38.2,40.3,41.0,40.4,41.5,43.1,44.8,46.6
