year,profit_rate,method,source,data_quality,notes
1958,0.47,Historical S&T,Book Table 5.4 (published r'),Published,
1959,0.45,Historical S&T,Book Table 5.4 (published r'),Published,
1960,0.45,Historical S&T,Book Table 5.4 (published r'),Published,
1961,0.46,Historical S&T,Book Table 5.4 (published r'),Published,
1962,0.46,Historical S&T,Book Table 5.4 (published r'),Published,
1963,0.45,Historical S&T,Book Table 5.4 (published r'),Published,
1964,0.45,Historical S&T,Book Table 5.4 (published r'),Published,
1965,0.43,Historical S&T,Book Table 5.4 (published r'),Published,
1966,0.42,Historical S&T,Book Table 5.4 (published r'),Published,
1967,0.42,Historical S&T,Book Table 5.4 (published r'),Published,
1968,0.41,Historical S&T,Book Table 5.4 (published r'),Published,
1969,0.4,Historical S&T,Book Table 5.4 (published r'),Published,
1970,0.42,Historical S&T,Book Table 5.4 (published r'),Published,
1971,0.42,Historical S&T,Book Table 5.4 (published r'),Published,
1972,0.4,Historical S&T,Book Table 5.4 (published r'),Published,
1973,0.39,Historical S&T,Book Table 5.4 (published r'),Published,
1974,,Historical S&T,Book Table 5.4 (published r'),Published,
1975,0.36,Historical S&T,Book Table 5.4 (published r'),Published,
1976,0.41,Historical S&T,Book Table 5.4 (published r'),Published,
1977,0.4,Historical S&T,Book Table 5.4 (published r'),Published,
1978,0.38,Historical S&T,Book Table 5.4 (published r'),Published,
1979,0.36,Historical S&T,Book Table 5.4 (published r'),Published,
1980,0.36,Historical S&T,Book Table 5.4 (published r'),Published,
1981,0.36,Historical S&T,Book Table 5.4 (published r'),Published,
1982,0.36,Historical S&T,Book Table 5.4 (published r'),Published,
1983,0.38,Historical S&T,Book Table 5.4 (published r'),Published,
1984,0.36,Historical S&T,Book Table 5.4 (published r'),Published,
1985,0.37,Historical S&T,Book Table 5.4 (published r'),Published,
1986,0.38,Historical S&T,Book Table 5.4 (published r'),Published,
1987,0.4,Historical S&T,Book Table 5.4 (published r'),Published,
1988,0.39,Historical S&T,Book Table 5.4 (published r'),Published,
1989,0.39,Historical S&T,Book Table 5.4 (published r'),Published,
