0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sources,Variables,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0
,r'=profit  rate adjusted for utilization = rVu,0.52,0.53,0.48,0.49,0.49,0.46,0.48,0.46,0.43,0.45,0.47,0.45
,r = S/K = Marxian general rate of  profit,,0.37,0.38,0.39,0.38,0.39,0.38,0.39,0.36,0.36,0.36,0.38
Table H.I,S,149.94,148.64,165.26,188.25,194.51,204.52,208.2,228.55,236.97,250.25,256.15,278.42
BEA  1987,K =C = fixed nonresidential gross private capital,384.3,400.2,438.7,480.8,506.2,526.6,546.2,591.2,650.3,689.7,710.9,738.0
Shaikh  1992,u,0.75,0.7,0.78,0.81,0.79,0.84,0.8,0.85,0.84,0.81,0.77,0.84
,r'=r/u = NIPA-based general rate of  profit,0.27,0.27,0.25,0.26,0.25,0.23,0.23,0.23,0.2,0.21,0.21,0.21
,r =  P/K,0.21,0.19,0.2,0.21,0.19,0.19,0.18,0.19,0.17,0.17,0.16,0.17
Table H.I,P = V A - E C - I BT =  (P +)-IBT,78.91,75.1,85.68,99.31,98.45,100.58,101.03,113.29,110.36,114.64,115.54,128.06
B-79tf,IBT=indirect  business tax,20.2,21.3,23.5,25.3,27.7,29.7,29.6,32.3,35.0,37.5,38.7,41.9
,Ff;=rn/u,0.23,0.23,0.2,0.2,0.2,0.18,0.19,0.18,0.16,0.17,0.18,0.17
,rn = Pn/K,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14
Table H.I,Pn = ( V A - E C ) - I B T - C PT  =  ( P + ) - I B T - C PT,66.51,64.9,67.78,76.71,79.05,80.28,83.43,91.29,88.36,93.24,96.54,104.46
