0,1,2,3,4,5,6,7,8,9,10,11
Sources,Variables,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0
,"b = 1 - 
(Pn /S*) = social burden rate",0.56,0.56,0.59,0.59,0.59,0.61,0.6,0.6,0.63,0.63
Table 5.8,Pn = profit-type  income net of  all taxes,66.51,64.9,67.78,76.71,79.05,80.28,83.43,91.29,88.36,93.24
,S*,149.94,148.64,165.26,188.25,194.51,204.52,208.2,228.55,236.97,250.25
,c' = 1 -  (I*/SP*) = social  consumption rate,0.78,0.85,0.76,0.78,0.83,0.84,0.84,0.8,0.8,0.83
Table D.I,"11-  IG*  -  Dp -  Dr'y -  D,', = net  investment",33.24,22.57,39.28,41.98,33.65,33.47,32.29,45.36,46.27,42.87
,SP*,149.91,148.58,165.09,188.26,194.79,204.29,208.23,228.16,236.74,249.88
,,0.22,0.15,0.24,0.22,0.17,0.16,0.16,0.2,0.2,0.17
,s'«u,0.17,0.11,0.19,0.18,0.14,0.14,0.12,0.17,0.16,0.14
Table 5.8,u=capacity  utilization rate,•6.15,0.7,0.78,0.81,0.79,0.84,0.8,0.85,0.84,0.81
,r*' = profit  rate adjusted  for utilization = r*/u,0.52,0.53,0.48,0.49,0.49,0.46,0.48,0.46,0.43,0.45
Table 5.8,"r,; = rn/u",0.23,0.23,0.2,0.2,0.2,0.18,0.19,0.18,0.16,0.17
