0,1,2,3
,Measuring  the  wealth of  nations,,
"Table A.2 
(cont.)",,,
1963-77,1963-77,1947/58,Final
105x116,87x98,90x99,82x88
88.0,73.0,73.0,69.0
89.0,73.0,73.0,69.0
90.0,75.0,75.0,70.0
91.0,76.0,76.0,71.0
92.0,76.0,76.0,71.0
93.0,77.0,77.0,72.0
94.0,77.0,77.0,72.0
95.0,77.0,77.0,72.0
96.0,78.0,78.0,73.0
97.0,79.0,79.0,74.0
98.0,80.0,80.0,75.0
99.0,81.0,83.0,76.0
100.0,82.0,84.0,77.0
101.0,83.0,85.0,78.0
102.0,84.0,86.0,79.0
103.0,85.0,87.0,80.0
104.0,86.0,89.0,81.0
105.0,87.0,90.0,82.0
,Final-demand columns,,
104.0,86.0,89.0,—8
105.0,87.0,92.0,1.0
106.0,88.0,93.0,82.0
107.0,89.0,94.0,83.0
108.0,90.0,95.0,84.0
109.0,91.0,96.0,85.0
110.0,92.0,97.0,86.0
111.0,93.0,97.0,86.0
112.0,94.0,98.0,87.0
113.0,95.0,98.0,87.0
114.0,96.0,98.0,87.0
115.0,97.0,98.0,87.0
116.0,98.0,99.0,88.0
