0,1,2,3,4,5,6,7,8,9,10,11
1963,PRODUCTION,TOT TRADI,ROYALTIES,,DUMMY,SECTORS,,,GROSS FINA,- DEMAND,GROSS PRODUCT
,,,,Govt,Hsehld,ROW,CON,Ig,X-IM,G,
PRODUCTION,345475.4,28535.6,10712.1,,,,242326.2,52613.6,-2712.7,61868.8,"tT
738819.0"
,,,,,,,,,,,P*
TOTAL TRADE,38938.8,11115.7,4148.0,,,,89775.2,5429.3,2851.4,1242.5,153501.0
,,,,,,,,,,,1.0
ROYALTIES,21665.1,8203.0,10476.8,,,,21067.4,119.8,389.3,3380.6,65302.0
"DUMMY 
Govt Ind",,,,,,,,,,57348.8,57348.8
"SECTORS 
Hsehld Ind",,,,,,,3824.0,,,,3824.0
ROW Ind,,,,,,,-1381.9,,5284.0,-643.1,3259.0
GROSS VALUE ADDED,332739.7,105645.7,39965.2,57348.8,3824.0,3259.0,,-1004.0,,,541779.3
GROSS OUTPUT,578703.7,120464.2,47029.0,40693.8,3503.0,2030.0,274997.2,39734.2,2206.0,93760.1,1563833.1
,".,","TV* 
•",,,,,,,,,
