1,0
Service industry machines,48.0
Electric transmission  equipment,49.0
Household  appliances,50.0
Electrical wiring and lighting  equipment,51.0
"Radio, TV, and communication  equipment",52.0
Electronic components  and accessories,53.0
Miscellaneous electrical  machinery,54.0
Motor  vehicles,55.0
Aircraft  and parts,56.0
Other transportation  equipment,57.0
Professional  and scientific  instruments,58.0
Photographic  and optical  goods,59.0
Miscellaneous  manufacturing,60.0
Transportation,61.0
Communications  except  broadcasting,62.0
Radio and TV  broadcasting,63.0
Public utilities,64.0
Wholesale  and retail trade,65.0
Finance and insurance,66.0
Real estate and rental,67.0
"Hotels and repair places, except auto repair",68.0
"Business services, research and development",69.0
Auto repair and services,70.0
Amusements,71.0
Medical and educational  services,72.0
Federal  government,73.0
State government,74.0
Noncomparable  imports,75.0
Scrap,76.0
Government  industry,77.0
Rest-of-the-World  industry,78.0
Household  industry,79.0
Inventory valuation  adjustment,80.0
Value added,81.0
Column totals,82.0
