0,1
Marxian,Input-output
A.  Revenue  side,
TV* = GOp + GOt = 2000,GO = GOP + GOt + GOry = 2250
=  1000+1000,=  1000+1000+250
,M = (Mp + RYp) + (Mt + RYt) + Mry
,= (400+100) + (200 +150) + 50 = 900
V A * = T V * - C* =  1,VA = G O -M  = 1350
= RYp + VAp + (GOt),= VAp + VAt + VAry
= RYp + VAp + (Mt + RYt + VAt),= 500 + 650 + 200
= GOry + Mt + VAp + VAt,
(since RYp + RYt = GOry),
= VAp + VAt + VAry + Mt + Mry,
"(since GO,, = M^ + Wry + Pry)",
= 500+650+ 200+ (200+ 50),
,Wp + Wt + Wry = 700
,200+400+100
S* = VA*-V* = 1400,Pp + Pt + Pry = 650
= Mt + Mry,300+250 + 100
+ VAp + VAt +  VA r y-W p,
= r p + Pt +  r^,
+ (Mry + Wry) + (Mt + Wt),
= 300+250 + 100,
+ (50+100)+  (200+400),
SVV* = 1400/200 = 700%,P/W = 650/700 = 93%
= [(Mry + Wry),= P/(Wp + Wt + Wry)
+ (Mt + Wt) +  P]/Wp,
