0,1,2
nan,V* = Wp = CONWp = (CONWp)p 4- (CONWp)t,V = A* • (CONWp)p
nan,S* = VA*-V*,S = V A -V
nan,incorrect  estimates  of  the  former.  We shall  see that  this  is precisely  the,nan
nan,"problem  with the general methodology  proposed  by Wolff  (1977b, 1987).",nan
nan,The  first  calculation  of  the  labor  value  rate  of  surplus  value  comes,nan
nan,in Okishio's  (1959) pathbreaking  study  for  Japan  in  1951. Also  available,nan
nan,"in  English  are  subsequent  studies  by  Izumi  (1980,  1983) and  by  Okishio",nan
nan,"and  Nakatani  (1985).  As  noted  in  the  beginning  of  this  chapter,  these",nan
nan,estimates  are  part  of  a  long  tradition  in  Japan  which  began  as  early  as,nan
1924.,nan,nan
nan,"Okishio  is the first not  only to  utilize input-output  tables,  but  also  to",nan
nan,"distinguish  between  productive  and  unproductive  labor  (1959, pp.  1-4).",nan
nan,"His calculations are similar to those we would use, with two notable excep-",nan
"tions. First of all, he treats all services as unproductive, although this may",nan,nan
nan,"simply  be  due  to  the  fact  that  his  input-output  data  combine  banking,",nan
nan,"real estate, and  services into one sector  (pp. 4, 6). More importantly,  his",nan
nan,treatment  of  unproductive  activities  inflates  the  measure  of  productive,nan
nan,"workers' consumption,  which  in turn  reduces  his estimate  of  the rate of",nan
nan,surplus value. Okishio begins by dividing his estimate of an average work-,nan
nan,er's daily consumption  bundle into the commodities  (conwp)p purchased,nan
nan,"from  productive sectors, and the unproductive expenditures (conwp)u com-",nan
nan,"prised of trade margins, rental and royalty payments, and expenditures on",nan
nan,services. The correct procedure at this point would have been to multiply,nan
nan,the former  by A* to obtain the unit value of labor  power n = V/(V + S) =,nan
nan,"A*'(conwp)p, the unit  surplus value (1 — n);  and the rate of  surplus  value",nan
nan,e = (1 — n)/n  = S/V.  But  Okishio  argues  that  -  because  a portion  of  the,nan
