year,profit_rate,data_source,method,scaling_note
1958,0.47,Phase 1 Historical,S&T Original,Direct from Phase 1
1959,0.45,Phase 1 Historical,S&T Original,Direct from Phase 1
1960,0.45,Phase 1 Historical,S&T Original,Direct from Phase 1
1961,0.46,Phase 1 Historical,S&T Original,Direct from Phase 1
1962,0.46,Phase 1 Historical,S&T Original,Direct from Phase 1
1963,0.45,Phase 1 Historical,S&T Original,Direct from Phase 1
1964,0.45,Phase 1 Historical,S&T Original,Direct from Phase 1
1965,0.43,Phase 1 Historical,S&T Original,Direct from Phase 1
1966,0.42,Phase 1 Historical,S&T Original,Direct from Phase 1
1967,0.42,Phase 1 Historical,S&T Original,Direct from Phase 1
1968,0.41,Phase 1 Historical,S&T Original,Direct from Phase 1
1969,0.4,Phase 1 Historical,S&T Original,Direct from Phase 1
1970,0.42,Phase 1 Historical,S&T Original,Direct from Phase 1
1971,0.42,Phase 1 Historical,S&T Original,Direct from Phase 1
1972,0.4,Phase 1 Historical,S&T Original,Direct from Phase 1
1973,0.39,Phase 1 Historical,S&T Original,Direct from Phase 1
1975,0.36,Phase 1 Historical,S&T Original,Direct from Phase 1
1976,0.41,Phase 1 Historical,S&T Original,Direct from Phase 1
1977,0.4,Phase 1 Historical,S&T Original,Direct from Phase 1
1978,0.38,Phase 1 Historical,S&T Original,Direct from Phase 1
1979,0.36,Phase 1 Historical,S&T Original,Direct from Phase 1
1980,0.36,Phase 1 Historical,S&T Original,Direct from Phase 1
1981,0.36,Phase 1 Historical,S&T Original,Direct from Phase 1
1982,0.36,Phase 1 Historical,S&T Original,Direct from Phase 1
1983,0.38,Phase 1 Historical,S&T Original,Direct from Phase 1
1984,0.36,Phase 1 Historical,S&T Original,Direct from Phase 1
1985,0.37,Phase 1 Historical,S&T Original,Direct from Phase 1
1986,0.38,Phase 1 Historical,S&T Original,Direct from Phase 1
1987,0.4,Phase 1 Historical,S&T Original,Direct from Phase 1
1988,0.39,Phase 1 Historical,S&T Original,Direct from Phase 1
1989,0.39,Phase 1 Historical,S&T Original,Direct from Phase 1
